Date,Open,High,Low,Close,Adj Close,Volume
2021-11-23,75949.000000,76789.546875,75075.203125,76468.796875,76336.765625,1220
2021-11-24,76790.000000,77448.953125,76089.000000,76464.898438,76332.875000,304
2021-11-25,76599.000000,76646.398438,75265.648438,75658.453125,75527.820313,361
2021-11-26,75830.000000,75830.000000,74555.046875,75171.101563,75041.312500,517
2021-11-29,75100.000000,75100.000000,73111.000000,73802.351563,73674.929688,332
2021-11-30,73690.000000,75999.796875,73690.000000,75015.648438,74886.125000,501
2021-12-01,75000.101563,75323.148438,73550.000000,73785.546875,73658.148438,508
2021-12-02,74299.000000,74299.000000,73250.000000,73895.796875,73768.210938,603
2021-12-03,74237.453125,74700.000000,73772.250000,73938.648438,73810.992188,531
2021-12-06,73801.000000,74056.203125,73000.000000,73260.750000,73134.265625,483
2021-12-07,73300.046875,73882.000000,73300.046875,73593.351563,73466.289063,218
2021-12-08,73800.000000,75199.000000,73800.000000,74664.601563,74535.695313,282
2021-12-09,75080.000000,75339.203125,74150.000000,74644.203125,74515.328125,285
2021-12-10,74668.546875,74950.000000,74012.148438,74270.648438,74142.414063,285
2021-12-13,74500.000000,75100.000000,73650.796875,73819.750000,73692.296875,487
2021-12-14,73280.046875,74199.796875,73280.046875,74055.000000,73927.132813,220
2021-12-15,74189.953125,74500.000000,73820.000000,73951.500000,73823.820313,174
2021-12-16,74337.296875,74382.000000,73165.000000,73335.203125,73208.578125,244
2021-12-17,73780.000000,73780.000000,72102.351563,72560.000000,72434.718750,532
2021-12-20,72599.000000,72599.000000,68719.898438,69973.703125,69852.890625,1418
2021-12-21,70840.000000,71157.601563,69954.851563,70454.546875,70332.906250,540
2021-12-22,70550.000000,71280.203125,70320.148438,70535.601563,70413.812500,298
2021-12-23,71079.953125,71400.398438,70750.046875,71040.601563,70917.937500,217
2021-12-24,71350.000000,71392.101563,69930.000000,70056.000000,69935.054688,497
2021-12-27,70091.398438,70692.101563,69300.000000,70469.703125,70348.039063,391
2021-12-28,70750.000000,71994.796875,70683.148438,71579.046875,71455.460938,219
2021-12-29,71197.101563,72678.851563,71197.101563,72569.500000,72444.203125,279
2021-12-30,72782.898438,72782.898438,71889.898438,72139.953125,72015.398438,202
2021-12-31,72394.000000,73699.953125,72224.601563,73293.546875,73167.000000,476
2022-01-03,73500.000000,73943.101563,73089.101563,73374.000000,73247.312500,198
2022-01-04,73937.953125,73998.000000,73351.000000,73929.000000,73801.359375,490
2022-01-05,74100.000000,74400.000000,73774.750000,74030.148438,73902.328125,153
2022-01-06,74150.000000,74385.250000,73209.898438,74133.648438,74005.656250,169
2022-01-07,74449.953125,74633.500000,73560.898438,74186.750000,74058.664063,153
2022-01-10,74439.046875,74950.000000,74136.750000,74288.351563,74160.085938,191
2022-01-11,74424.953125,74469.898438,73900.101563,74273.351563,74145.109375,333
2022-01-12,74425.000000,75484.851563,74315.000000,75254.101563,75124.171875,211
2022-01-13,75533.351563,76380.500000,74987.796875,75975.148438,75843.968750,422
2022-01-14,75790.546875,76250.000000,75351.203125,76130.296875,75998.851563,219
2022-01-17,75857.851563,77193.601563,75857.851563,76853.398438,76720.703125,249
2022-01-18,76810.000000,77255.750000,76132.546875,76325.703125,76193.929688,455
2022-01-19,76224.000000,76724.000000,75565.101563,76547.046875,76414.890625,274
2022-01-20,75898.101563,75966.046875,73539.648438,73787.296875,73659.898438,910
2022-01-21,73481.953125,74700.000000,72006.250000,72727.851563,72602.281250,802
2022-01-24,72850.000000,72850.000000,70007.000000,71103.250000,70980.484375,749
2022-01-25,71339.648438,72299.796875,69900.000000,70577.203125,70455.343750,820
2022-01-27,70500.000000,71000.000000,69500.000000,70708.953125,70586.867188,663
2022-01-28,71030.000000,72819.898438,71030.000000,71385.453125,71262.203125,264
2022-01-31,71985.453125,72460.000000,71348.703125,72181.500000,72056.867188,341
2022-02-01,72746.953125,72746.953125,71288.750000,71506.898438,71383.437500,444
2022-02-02,71899.953125,72679.101563,71234.000000,71521.546875,71398.062500,237
2022-02-03,70499.953125,71931.046875,70010.000000,70993.398438,70870.812500,785
2022-02-04,71000.000000,71403.500000,69850.000000,70052.250000,69931.312500,696
2022-02-07,70191.000000,70269.101563,68634.796875,68905.601563,68786.632813,979
2022-02-08,69010.101563,69886.750000,68500.000000,69548.796875,69428.718750,644
2022-02-09,70046.953125,70500.000000,69530.148438,70405.601563,70284.039063,440
2022-02-10,70500.000000,70899.953125,69520.101563,69785.296875,69664.812500,249
2022-02-11,69125.000000,69600.000000,68100.000000,68265.648438,68147.781250,809
2022-02-14,null,null,null,null,null,null
2022-02-15,66120.000000,66990.750000,65005.148438,66672.250000,66557.132813,885
2022-02-16,67646.953125,67646.953125,66001.203125,66110.796875,65996.656250,408
2022-02-17,66100.000000,66678.203125,65500.000000,65648.296875,65534.949219,316
2022-02-18,65477.000000,66200.000000,65329.101563,65612.500000,65499.214844,393
2022-02-21,65210.148438,65469.949219,64600.000000,64752.800781,64641.003906,342
2022-02-22,63400.000000,65972.398438,63000.050781,65778.898438,65665.335938,908
2022-02-23,66299.953125,66853.000000,65650.250000,65812.851563,65699.226563,439
2022-02-24,63500.000000,65227.648438,62944.500000,64007.800781,63897.285156,1361
2022-02-25,64007.800781,65782.351563,64007.800781,65511.250000,65398.140625,748
2022-02-28,65700.000000,66289.601563,64500.000000,65715.796875,65602.335938,345
2022-03-02,65880.000000,66600.046875,65307.949219,66201.546875,66087.250000,295
2022-03-03,66608.898438,66999.898438,65800.000000,66088.250000,65974.148438,278
2022-03-04,65500.050781,66163.898438,65000.000000,66013.703125,65899.726563,385
2022-03-07,64500.000000,66440.250000,63800.050781,66115.046875,66000.890625,1097
2022-03-08,66120.000000,66627.250000,65800.000000,66340.296875,66225.765625,222
2022-03-09,66564.203125,66940.898438,65957.898438,66087.351563,65973.250000,278
2022-03-10,66850.000000,67464.648438,66504.000000,66862.750000,66747.312500,330
2022-03-11,66980.000000,68000.000000,66410.203125,67919.203125,67801.937500,202
2022-03-14,68100.000000,68458.851563,67412.101563,68237.351563,68119.531250,368
2022-03-15,68238.851563,68958.953125,67718.648438,68107.648438,67990.054688,323
2022-03-16,68310.000000,68800.000000,68145.101563,68343.398438,68225.406250,282
2022-03-17,68634.953125,69898.046875,68620.000000,68986.000000,68866.882813,345
2022-03-21,69479.851563,69922.601563,66650.250000,67010.851563,66895.148438,654
2022-03-22,67399.000000,67399.000000,65965.796875,67128.500000,67012.601563,597
2022-03-23,67399.953125,67724.000000,66619.000000,66833.601563,66718.210938,344
2022-03-24,66741.398438,67400.000000,66446.046875,66784.101563,66668.796875,172
2022-03-25,66989.953125,67151.148438,66005.000000,66485.601563,66370.812500,293
2022-03-28,67300.000000,67300.000000,64974.000000,65724.101563,65610.625000,526
2022-03-29,65600.000000,66850.000000,65100.000000,65325.898438,65213.113281,597
2022-03-30,65450.148438,65925.898438,65144.800781,65384.449219,65271.558594,688
2022-03-31,65384.449219,65800.000000,64661.500000,64973.351563,64861.171875,852
2022-04-01,65313.949219,66600.000000,65085.500000,66360.351563,66245.773438,250
2022-04-04,67000.000000,67200.000000,66682.203125,66989.953125,66874.296875,299
2022-04-05,67499.898438,68127.000000,67300.000000,67632.203125,67515.429688,275
2022-04-06,67946.953125,67946.953125,67200.203125,67596.046875,67479.335938,134
2022-04-07,67984.953125,68050.546875,67000.000000,67196.351563,67080.335938,138
2022-04-08,67574.953125,68100.000000,66800.000000,67763.148438,67646.156250,436
2022-04-11,67761.000000,68027.750000,67611.296875,67738.101563,67621.156250,116
2022-04-12,67606.148438,67951.601563,66607.351563,67541.546875,67424.929688,236
2022-04-13,68140.000000,68140.000000,67046.101563,67458.601563,67342.132813,148
2022-04-18,67001.046875,67461.000000,66090.500000,66986.601563,66870.945313,249
2022-04-19,67079.000000,67751.500000,65800.000000,66193.046875,66078.765625,377
2022-04-20,66765.000000,68201.703125,66639.046875,67734.398438,67617.460938,272
2022-04-21,67880.000000,70081.601563,67880.000000,69680.601563,69560.296875,856
2022-04-22,69400.000000,69430.398438,68519.351563,69132.398438,69013.039063,226
2022-04-25,68280.000000,69450.000000,68280.000000,69110.000000,68990.679688,144
2022-04-26,69574.898438,71438.546875,69486.851563,71271.250000,71148.195313,493
2022-04-27,70800.000000,72590.000000,70250.000000,72185.250000,72060.609375,482
2022-04-28,72500.000000,72544.601563,71023.453125,72366.101563,72241.164063,416
2022-04-29,72264.703125,73317.500000,71800.000000,72688.601563,72563.101563,591
2022-05-02,null,null,null,null,null,null
2022-05-04,72750.000000,73000.398438,71232.453125,71815.148438,71691.156250,5596
2022-05-05,72599.953125,72714.453125,70950.000000,71124.796875,71002.000000,147
2022-05-06,70952.000000,70952.000000,69351.046875,70065.500000,69944.531250,241
2022-05-09,69500.000000,69774.953125,68361.000000,68579.351563,68460.945313,318
2022-05-10,68560.000000,70895.953125,67321.148438,68673.953125,68555.375000,699
2022-05-11,68100.000000,69233.500000,67885.046875,68119.546875,68001.937500,287
2022-05-12,68070.000000,68070.000000,66685.101563,67585.148438,67468.453125,403
2022-05-13,67600.000000,73141.750000,67600.000000,72000.296875,71875.984375,1083
2022-05-16,72000.000000,73200.000000,70590.148438,72587.750000,72462.429688,395
2022-05-17,72600.000000,74200.000000,72560.203125,73983.250000,73855.523438,754
2022-05-18,74000.000000,74735.000000,73793.546875,74575.148438,74446.390625,404
2022-05-19,73000.546875,74216.500000,73000.546875,73488.101563,73361.226563,156
2022-05-20,73750.000000,74648.203125,73275.148438,74067.601563,73939.718750,624
2022-05-23,74767.601563,75075.398438,73102.601563,73366.148438,73239.476563,198
2022-05-24,74649.703125,74649.703125,73138.296875,74337.148438,74208.804688,301
2022-05-25,74569.351563,75372.351563,73554.898438,74818.101563,74688.921875,173
2022-05-26,74975.000000,75285.453125,73674.453125,75051.601563,74922.023438,257
2022-05-27,75500.000000,75649.953125,74300.000000,74679.148438,74550.218750,167
2022-05-30,75300.000000,75750.000000,75032.898438,75348.203125,75218.109375,287
2022-05-31,75350.000000,78138.500000,75350.000000,77656.851563,77522.773438,350
2022-06-01,77184.601563,77500.000000,76001.000000,76291.500000,76159.781250,395
2022-06-02,76800.000000,76800.000000,75000.000000,75866.601563,75735.617188,236
2022-06-03,76349.953125,76872.898438,76118.296875,76510.148438,76378.046875,261
2022-06-06,76465.000000,76650.000000,74556.796875,74738.148438,74609.109375,255
2022-06-07,74499.953125,74499.953125,71400.000000,71619.398438,71495.750000,539
2022-06-08,72230.296875,72249.500000,70269.703125,70566.398438,70444.554688,423
2022-06-09,70440.000000,70752.398438,70008.101563,70354.101563,70232.632813,246
2022-06-10,70200.000000,70554.851563,69770.000000,69926.796875,69806.062500,188
2022-06-13,69483.000000,69483.000000,68300.000000,68561.250000,68442.875000,240
2022-06-14,67500.000000,69400.000000,67500.000000,68177.601563,68059.890625,261
2022-06-15,68177.601563,69441.203125,68177.601563,68442.203125,68324.031250,131
2022-06-16,69000.000000,69274.898438,67001.046875,67216.453125,67100.406250,374
2022-06-17,67237.898438,69008.851563,65900.046875,67883.898438,67766.687500,552
2022-06-20,68380.000000,68500.000000,66500.000000,66699.148438,66583.984375,205
2022-06-21,66899.953125,68285.046875,66899.953125,68088.851563,67971.296875,429
2022-06-22,67460.000000,68128.351563,67355.000000,68050.546875,67933.054688,119
2022-06-23,68258.546875,69200.000000,68013.046875,68980.398438,68861.289063,352
2022-06-24,69300.000000,70774.546875,68612.953125,70410.601563,70289.031250,763
2022-06-27,70800.000000,71986.953125,70800.000000,71161.500000,71038.640625,223
2022-06-28,71160.000000,72501.000000,70687.296875,72286.101563,72161.296875,294
2022-06-29,71500.000000,72058.500000,71151.000000,71504.546875,71381.093750,231
2022-06-30,71795.046875,72174.648438,70557.601563,70734.250000,70612.125000,201
2022-07-01,70750.000000,72435.000000,70294.250000,72180.296875,72055.664063,262
2022-07-04,72083.453125,72509.601563,71747.796875,71804.750000,71680.781250,93
2022-07-05,72100.000000,72415.000000,71096.101563,71174.101563,71051.218750,255
2022-07-06,71559.953125,73452.648438,71559.953125,73270.648438,73144.148438,238
2022-07-07,73649.546875,75500.000000,73358.101563,75353.546875,75223.445313,680
2022-07-08,75499.000000,76400.000000,75310.500000,75994.000000,75862.789063,655
2022-07-11,76044.000000,76499.000000,75610.000000,76402.351563,76270.437500,177
2022-07-12,76397.953125,76850.000000,75139.601563,76643.351563,76511.023438,411
2022-07-13,76825.500000,77558.203125,76825.500000,77230.046875,77096.710938,484
2022-07-14,77422.000000,77872.546875,76551.101563,77376.453125,77242.859375,366
2022-07-15,77379.398438,79749.953125,77379.398438,79541.453125,79404.125000,545
2022-07-18,80000.000000,80990.000000,79805.203125,80567.250000,80428.148438,2816
2022-07-19,80799.953125,80799.953125,79204.453125,79932.500000,79794.484375,372
2022-07-20,80000.000000,81000.000000,79454.796875,79647.453125,79509.929688,212
2022-07-21,79926.648438,80380.000000,79560.000000,80173.898438,80035.484375,152
2022-07-22,80500.000000,80702.953125,79222.000000,79477.148438,79339.921875,267
2022-07-25,79435.250000,81150.000000,79435.250000,80711.851563,80572.500000,815
2022-07-26,80610.046875,80983.000000,79898.296875,80135.851563,79997.500000,198
2022-07-27,80445.398438,80987.851563,79656.101563,80762.101563,80622.656250,151
2022-07-28,80455.851563,83233.000000,80455.851563,82990.546875,82847.257813,441
2022-07-29,83600.000000,83957.601563,82600.000000,83784.500000,83639.835938,447
2022-08-01,84000.000000,87300.000000,84000.000000,86970.500000,86820.343750,2923
2022-08-02,86965.000000,88949.953125,86258.000000,88268.500000,88116.093750,1424
2022-08-03,88150.000000,88852.000000,87181.703125,88703.453125,88550.304688,951
2022-08-04,89250.000000,89333.000000,87807.296875,88677.398438,88524.289063,354
2022-08-05,88888.000000,89149.750000,87904.000000,88848.796875,88695.390625,263
2022-08-08,89200.000000,89200.000000,87501.000000,87712.250000,87560.812500,362
2022-08-10,86551.046875,87240.101563,82615.398438,83472.296875,83328.179688,1140
2022-08-11,84300.000000,84500.000000,82200.000000,82489.203125,82346.781250,581
2022-08-12,82185.500000,84382.546875,82185.500000,83250.296875,83106.570313,429
2022-08-16,83250.046875,87501.000000,83250.046875,87037.851563,86887.578125,1785
2022-08-17,87000.000000,87887.796875,86390.046875,86896.601563,86746.562500,647
2022-08-18,86888.000000,87971.546875,85847.250000,87586.750000,87435.531250,912
2022-08-19,87964.898438,88469.500000,86500.148438,86905.500000,86755.453125,440
2022-08-22,85000.000000,86800.000000,84556.148438,84822.851563,84676.398438,790
2022-08-23,84100.000000,86721.750000,84000.000000,85875.453125,85727.187500,426
2022-08-24,85500.046875,86676.500000,84842.250000,85267.250000,85120.031250,227
2022-08-25,85899.953125,86450.000000,85053.000000,85438.101563,85290.585938,284
2022-08-26,86000.000000,86537.500000,85056.101563,85275.148438,85127.914063,180
2022-08-29,84800.000000,84894.250000,83704.500000,84366.953125,84221.289063,379
