Date,Open,High,Low,Close,Adj Close,Volume
2020-02-12,57.450001,57.450001,55.150002,55.500000,53.613914,16371273
2020-02-13,55.900002,56.200001,55.000000,55.400002,53.517315,12379436
2020-02-14,55.700001,56.049999,54.000000,54.200001,52.358093,15654307
2020-02-17,54.099998,54.349998,51.650002,51.950001,50.184559,18893364
2020-02-18,51.900002,52.500000,49.900002,52.000000,50.232857,22621843
2020-02-19,52.500000,53.099998,51.700001,52.700001,50.909069,13554123
2020-02-20,52.500000,53.700001,52.049999,52.849998,51.053970,14961174
2020-02-24,51.849998,51.849998,50.099998,50.349998,48.638927,20135592
2020-02-25,50.400002,50.700001,49.750000,49.900002,48.204224,15899668
2020-02-26,49.450001,50.099998,49.000000,49.150002,47.479713,18056503
2020-02-27,49.099998,49.299999,46.799999,46.950001,45.354473,26564325
2020-02-28,45.250000,46.349998,44.299999,45.049999,43.519043,28222955
2020-03-02,46.299999,46.599998,42.099998,42.750000,41.297203,24375256
2020-03-03,42.750000,45.000000,42.750000,44.500000,42.987732,30389904
2020-03-04,44.750000,44.950001,43.049999,44.450001,42.939430,24911682
2020-03-05,44.500000,45.950001,42.700001,45.000000,43.470741,29076191
2020-03-06,41.650002,43.200001,40.950001,42.349998,40.910797,23178204
2020-03-09,41.150002,41.500000,39.349998,39.750000,38.399155,23193045
2020-03-11,39.750000,40.650002,37.900002,38.450001,37.143333,29799814
2020-03-12,35.349998,36.299999,33.099998,33.750000,32.603058,45668907
2020-03-13,31.200001,38.150002,28.049999,37.400002,36.129017,46283310
2020-03-16,36.000000,36.400002,34.549999,35.799999,34.583389,26750745
2020-03-17,36.500000,37.200001,34.950001,35.299999,34.100380,28305181
2020-03-18,36.000000,39.250000,33.900002,36.750000,35.501106,41726476
2020-03-19,35.000000,39.400002,34.299999,37.200001,35.935814,38504085
2020-03-20,37.500000,39.000000,36.700001,38.049999,36.756924,34438012
2020-03-23,35.950001,37.500000,34.700001,35.400002,34.196983,18562456
2020-03-24,37.000000,37.500000,35.400002,36.299999,35.066399,26934600
2020-03-25,36.000000,36.349998,33.150002,34.299999,33.134365,24605185
2020-03-26,34.549999,35.799999,33.200001,33.400002,32.264950,29576021
2020-03-27,34.500000,35.950001,33.250000,33.450001,32.313251,30678500
2020-03-30,33.400002,33.900002,32.349998,32.900002,31.781944,16722670
2020-03-31,33.700001,33.700001,32.200001,32.349998,31.250631,18297010
2020-04-01,32.500000,32.500000,30.250000,30.450001,29.415201,26645369
2020-04-03,30.500000,30.700001,29.250000,29.650000,28.642387,20693435
2020-04-07,30.500000,30.500000,29.650000,30.049999,29.028793,21958544
2020-04-08,29.900000,31.600000,29.400000,30.500000,29.463503,29665371
2020-04-09,30.700001,31.900000,30.600000,31.400000,30.332916,23013811
2020-04-13,31.750000,31.750000,30.299999,31.350000,30.284616,16584216
2020-04-15,31.549999,32.599998,30.600000,31.100000,30.043114,22095245
2020-04-16,31.100000,31.500000,30.549999,31.049999,29.994810,19994392
2020-04-17,32.250000,32.750000,31.000000,31.799999,30.719322,28207182
2020-04-20,32.099998,33.900002,31.400000,32.849998,31.733641,41209050
2020-04-21,32.299999,32.349998,30.950001,31.100000,30.043114,21855708
2020-04-22,31.000000,31.250000,30.200001,31.100000,30.043114,18792906
2020-04-23,31.500000,31.750000,31.000000,31.200001,30.139715,19387746
2020-04-24,30.700001,31.100000,30.150000,30.200001,29.173698,14350195
2020-04-27,30.400000,30.900000,30.299999,30.750000,29.705008,11950694
2020-04-28,30.799999,31.350000,30.700001,31.250000,30.188015,11779908
2020-04-29,31.299999,32.500000,31.100000,32.299999,31.202330,18718847
2020-04-30,32.700001,33.700001,32.099998,32.299999,31.202330,31458387
2020-05-04,30.900000,31.100000,29.900000,30.150000,29.125397,21840848
2020-05-05,30.500000,30.750000,29.049999,29.200001,28.207682,19121106
2020-05-06,29.200001,29.600000,28.500000,29.350000,28.352585,18005225
2020-05-07,29.150000,30.250000,28.900000,29.700001,28.690691,14824828
2020-05-08,29.850000,30.200001,29.049999,29.200001,28.207682,14357669
2020-05-11,29.400000,29.500000,28.700001,28.799999,27.821274,16324765
2020-05-12,28.500000,29.200001,27.900000,28.700001,27.724674,21778045
2020-05-13,30.299999,31.000000,29.450001,30.600000,29.560104,38941451
2020-05-14,30.150000,30.549999,29.100000,29.299999,28.304283,22669889
2020-05-15,29.299999,29.600000,28.600000,28.799999,27.821274,18837162
2020-05-18,28.900000,28.950001,26.750000,27.350000,26.420551,28519760
2020-05-19,27.600000,27.750000,26.500000,26.600000,25.696037,25287021
2020-05-20,26.600000,26.900000,26.299999,26.600000,25.696037,17209079
2020-05-21,26.600000,27.650000,26.299999,27.000000,26.082443,26589981
2020-05-22,26.700001,27.650000,26.400000,26.650000,25.744339,27654790
2020-05-26,26.799999,27.049999,26.450001,26.700001,25.792641,17284784
2020-05-27,26.700001,27.650000,26.549999,27.500000,26.565453,27037903
2020-05-28,27.600000,27.900000,26.600000,26.750000,25.840940,41838377
2020-05-29,26.650000,27.350000,26.350000,26.750000,25.840940,35142537
2020-06-01,27.400000,30.100000,27.000000,29.200001,28.207682,72815551
2020-06-02,29.299999,29.700001,28.600000,29.250000,28.255981,40249766
2020-06-03,29.799999,31.600000,29.600000,30.250000,29.221998,86251403
2020-06-04,29.950001,32.599998,29.700001,31.000000,29.946510,127139095
2020-06-05,31.500000,34.099998,31.400000,33.750000,32.603058,96114143
2020-06-08,35.500000,35.500000,32.250000,32.599998,31.492136,103763917
2020-06-09,33.000000,33.500000,31.500000,31.799999,30.719322,63883963
2020-06-10,32.000000,34.099998,31.650000,33.849998,32.699657,83659985
2020-06-11,34.500000,35.200001,32.549999,32.799999,31.685341,97137720
2020-06-12,31.000000,33.200001,30.900000,33.049999,31.926842,51625110
2020-06-15,33.000000,34.150002,32.049999,33.650002,32.506458,50672408
2020-06-16,34.500000,34.849998,31.900000,33.150002,32.023445,62031926
2020-06-17,32.900002,33.900002,32.500000,33.150002,32.023445,48129227
2020-06-18,33.099998,34.200001,32.900002,33.900002,32.747963,41940209
2020-06-19,34.500000,34.650002,33.900002,34.500000,33.327568,47807176
2020-06-22,35.849998,36.000000,35.000000,35.799999,34.583389,89826409
2020-06-23,36.000000,37.900002,35.900002,37.450001,36.177319,83901309
2020-06-24,38.000000,38.400002,36.250000,36.500000,35.259602,70619520
2020-06-25,36.299999,37.599998,35.549999,37.099998,35.839211,57452358
2020-06-26,37.650002,37.950001,36.400002,36.599998,35.356201,37644978
2020-06-29,36.200001,36.400002,35.150002,35.349998,34.148682,29067559
2020-06-30,35.799999,36.150002,34.549999,34.750000,33.569073,22906001
2020-07-01,35.000000,36.549999,34.500000,36.400002,35.163002,39413754
2020-07-02,36.599998,37.049999,36.099998,36.250000,35.018097,26984117
2020-07-03,36.500000,36.549999,35.799999,35.950001,34.728291,19474324
2020-07-06,36.250000,37.299999,36.000000,37.099998,35.839211,36388175
2020-07-07,37.299999,37.349998,36.099998,36.799999,35.549404,33765918
2020-07-08,36.650002,38.750000,36.599998,37.250000,35.984112,81536214
2020-07-09,37.799999,38.000000,36.849998,37.099998,35.839211,38093561
2020-07-10,35.849998,36.099998,34.599998,35.049999,33.858875,101789230
2020-07-13,35.400002,35.450001,34.299999,34.549999,33.375870,28822642
2020-07-14,34.400002,34.450001,33.400002,33.549999,32.409851,22087745
2020-07-15,33.700001,34.150002,32.750000,33.000000,31.878542,22966651
2020-07-16,33.000000,33.450001,32.250000,33.250000,32.120049,17806805
2020-07-17,33.450001,33.799999,33.200001,33.599998,32.458153,15740313
2020-07-20,33.900002,34.750000,33.599998,34.549999,33.375870,19422869
2020-07-21,34.950001,35.200001,34.299999,34.750000,33.569073,25336284
2020-07-22,34.849998,35.099998,33.900002,34.250000,33.086063,26175681
2020-07-23,34.099998,34.700001,34.049999,34.299999,33.134365,18325343
2020-07-24,34.099998,34.200001,33.150002,33.549999,32.409851,20991861
2020-07-27,33.650002,33.650002,32.250000,32.299999,31.202330,22869574
2020-07-28,32.349998,32.650002,31.750000,32.099998,31.009127,24366835
2020-07-29,32.099998,33.549999,32.099998,32.750000,31.637041,28066086
2020-07-30,32.799999,33.099998,31.650000,31.750000,30.671024,26795059
2020-07-31,31.900000,32.150002,31.250000,31.950001,30.864227,30715605
2020-08-03,32.000000,33.349998,31.850000,32.900002,31.781944,36462460
2020-08-04,32.849998,32.900002,32.049999,32.500000,31.395535,21120742
2020-08-05,32.650002,33.150002,32.450001,32.599998,31.492136,17765292
2020-08-06,32.599998,32.900002,32.250000,32.349998,31.250631,21224081
2020-08-07,32.500000,32.950001,32.250000,32.799999,31.685341,18254674
2020-08-10,33.000000,33.299999,32.700001,32.849998,31.733641,18269324
2020-08-11,32.799999,33.099998,32.500000,32.849998,31.733641,16076250
2020-08-12,33.000000,34.700001,33.000000,33.799999,32.651356,60046401
2020-08-13,34.000000,34.299999,32.900002,33.250000,32.120049,24293216
2020-08-14,33.500000,33.500000,31.950001,32.250000,31.154030,27201356
2020-08-17,32.549999,32.599998,31.850000,32.450001,31.347235,21850726
2020-08-18,32.549999,33.000000,32.200001,32.849998,31.733641,25200592
2020-08-19,34.250000,34.599998,33.700001,34.200001,33.037762,64987250
2020-08-20,34.000000,35.250000,33.599998,35.099998,33.907177,45593468
2020-08-21,35.250000,36.700001,35.250000,35.650002,34.438488,68760804
2020-08-24,36.450001,36.599998,34.900002,35.299999,34.100380,38104044
2020-08-25,35.299999,35.650002,35.099998,35.200001,34.003780,24142450
2020-08-26,35.650002,35.700001,35.200001,35.400002,34.196983,18538663
2020-08-27,35.400002,36.450001,35.150002,35.299999,34.100380,44653828
2020-08-28,35.500000,37.400002,35.500000,37.049999,35.790909,85959987
2020-08-31,38.200001,38.599998,34.700001,35.049999,33.858875,75996857
2020-09-01,35.200001,35.750000,33.799999,34.700001,33.520775,42207150
2020-09-02,35.000000,35.150002,34.150002,34.799999,33.617374,29193200
2020-09-03,34.900002,35.049999,34.400002,34.500000,33.327568,13929020
2020-09-04,33.799999,34.200001,33.500000,33.650002,32.506458,20522901
2020-09-07,33.849998,34.049999,33.500000,33.799999,32.651356,16504375
2020-09-08,33.799999,34.000000,33.400002,33.650002,32.506458,13245081
2020-09-09,33.000000,33.299999,32.549999,32.900002,31.781944,14722712
2020-09-10,33.200001,33.650002,33.150002,33.549999,32.409851,13592699
2020-09-11,33.299999,33.849998,33.299999,33.700001,32.554756,11540634
2020-09-14,33.799999,34.049999,33.349998,33.599998,32.458153,13826555
2020-09-15,33.950001,33.950001,33.000000,33.299999,32.168346,23921967
2020-09-16,33.349998,33.700001,32.750000,33.599998,32.458153,26126290
2020-09-17,33.250000,33.549999,33.000000,33.250000,32.120049,14159296
2020-09-18,33.349998,33.450001,32.349998,32.599998,31.492136,26475003
2020-09-21,32.549999,32.599998,30.400000,30.650000,29.608404,28356034
2020-09-22,30.750000,30.799999,29.500000,30.049999,29.028793,30887287
2020-09-23,30.500000,30.500000,28.900000,29.350000,28.352585,37098972
2020-09-24,28.950001,29.100000,27.950001,28.049999,27.096760,26290043
2020-09-25,28.250000,29.250000,27.650000,29.049999,28.062777,31735862
2020-09-28,29.500000,30.250000,29.200001,30.150000,29.125397,20887757
2020-09-29,30.200001,30.400000,28.700001,29.100000,28.111080,30263021
2020-09-30,29.000000,29.000000,28.299999,28.549999,27.579769,26580672
2020-10-01,27.799999,29.000000,27.700001,28.000000,27.048460,62176969
2020-10-05,28.400000,28.850000,28.049999,28.299999,27.338266,35375815
2020-10-06,28.450001,28.600000,28.100000,28.350000,27.386568,25184933
2020-10-07,28.350000,28.549999,27.650000,27.750000,26.806957,33248097
2020-10-08,28.049999,28.700001,27.750000,27.799999,26.855257,31575254
2020-10-09,28.000000,29.000000,27.650000,28.900000,27.917875,41073470
2020-10-12,29.299999,29.750000,28.250000,28.450001,27.483168,33394203
2020-10-13,28.400000,28.500000,27.750000,27.850000,26.903559,25015960
2020-10-14,27.799999,28.350000,27.500000,28.150000,27.193363,32332343
2020-10-15,28.350000,28.549999,27.500000,27.700001,26.758657,18354893
2020-10-16,27.799999,27.950001,27.350000,27.450001,26.517153,17640916
2020-10-19,27.750000,28.049999,27.600000,27.950001,27.000160,23518488
2020-10-20,27.900000,27.900000,27.250000,27.350000,26.420551,19887927
2020-10-21,27.500000,27.799999,27.049999,27.200001,26.275648,22428270
2020-10-22,27.200001,27.400000,27.150000,27.200001,26.275648,11303327
2020-10-23,27.400000,27.500000,27.200001,27.400000,26.468851,10787905
2020-10-26,27.549999,28.250000,27.450001,28.000000,27.048460,32461849
2020-10-27,28.000000,28.000000,27.049999,27.350000,26.420551,37298613
2020-10-28,27.450001,27.650000,26.950001,27.100000,26.179047,29350576
2020-10-29,27.000000,27.000000,26.299999,26.600000,25.696037,33996026
2020-10-30,26.799999,27.200001,26.500000,26.750000,25.840940,25772525
2020-11-02,27.100000,28.400000,26.750000,27.950001,27.000160,53642960
2020-11-03,28.049999,28.350000,27.299999,27.799999,26.855257,72403902
